Visible or Deactivate (Hidden)?,Column1,Level Nothing ,Level 1,Level 1 Name,Level 2,Level 2 Name,Clarifications / Additional notes on coverage,Level 3 Code,Level 3 Name
,45,Health,123,Non-communicable diseases (NCD),12320,Tobacco use control,"Population/individual measures and interventions to reduce all forms of tobacco use in any form. Includes activities related to the implementation of the WHO Framework Convention on Tobacco Control, including specific high-impact demand reduction measures for effective tobacco control.",0,Unspecified
,46,Health,123,Non-communicable diseases (NCD),12330,Control of harmful use of alcohol and drugs,"Prevention and reduction of harmful use of alcohol and psychoactive drugs; development, implementation, monitoring and evaluation of prevention and treatment strategies, programmes and interventions; early identification and management of health conditions caused by use of alcohol and drugs [excluding narcotics traffic control (16063)].",0,Unspecified
,47,Health,123,Non-communicable diseases (NCD),12340,Promotion of mental health and well-being ,"Promotion of programmes and interventions which support mental health and well-being resiliency; prevention, care and support to individuals vulnerable to suicide. Excluding treatment of addiction to tobacco, alcohol and drugs (included in codes 12320 and 12330).",0,Unspecified
,48,Health,123,Non-communicable diseases (NCD),12350,Other prevention and treatment of NCDs,"Population/individual measures to reduce exposure to unhealthy diets and physical inactivity and to strengthen capacity for prevention, early detection, treatment and sustained management of NCDs including:  Cardiovascular disease control: Prevention, screening and treatment of cardiovascular diseases (including hypertension, hyperlipidaemia, ischaemic heart diseases, stroke, rheumatic heart disease, congenital heart disease, heart failure, etc.).   Diabetes control: Prevention, screening, diagnosis, treatment and management of complications from all types of diabetes.  Exposure to physical inactivity: Promotion of physical activity through supportive built environment (urban design, transport), sports, health care, schools and community programmes and mass media campaign.  Exposure to unhealthy diet: Programmes and interventions that promote healthy diet through reduced consumption of salt, sugar and fats and increased consumption of fruits and vegetables e.g. food reformulation, nutrient labelling, food taxes, marketing restriction on unhealthy foods, nutrition education and counselling, and settings-based interventions (schools, workplaces, villages, communities).  Cancer control: Prevention (including immunisation, HPV and HBV), early diagnosis (including pathology), screening, treatment (e.g. radiotherapy, chemotherapy, surgery) and palliative care for all types of cancers. Implementation, maintenance and improvement of cancer registries are also included.  Chronic respiratory diseases: Prevention, early diagnosis and treatment of chronic respiratory diseases, including asthma. Excludes: Tobacco use control (12320), Control of harmful use of alcohol and drugs (12330), research for the prevention and control of NCDs (12382).",0,Unspecified
,49,Health,123,Non-communicable diseases (NCD),12382,Research for prevention and control of NCDs,"Research to enhance understanding of NCDs, their risk factors, epidemiology, social determinants and economic impact; translational and implementation research to enhance operationalisation of cost-effective strategies to prevent and control NCDs; surveillance and monitoring of NCD mortality, morbidity, risk factor exposures, and national capacity to prevent and control NCDs.",0,Unspecified
,50,Health,130,Population Policies/Programmes & Reproductive Health,13010,Population policy and administrative management,"Population/development policies; census work, vital registration; migration data; demographic research/analysis; reproductive health research; unspecified population activities.",0,Unspecified
,51,Health,130,Population Policies/Programmes & Reproductive Health,13020,Reproductive health care,Promotion of reproductive health; prenatal and postnatal care including delivery; prevention and treatment of infertility; prevention and management of consequences of abortion; safe motherhood activities.,0,Unspecified
,52,Health,130,Population Policies/Programmes & Reproductive Health,13030,Family planning,"Family planning services including counselling; information, education and communication (IEC) activities; delivery of contraceptives; capacity building and training.",0,Unspecified
,53,Health,130,Population Policies/Programmes & Reproductive Health,13040,STD control including HIV/AIDS,"All activities related to sexually transmitted diseases and HIV/AIDS control e.g. information, education and communication; testing; prevention; treatment, care.",1304001,HIV/AIDS Prevention
,54,Health,130,Population Policies/Programmes & Reproductive Health,13040,STD control including HIV/AIDS,"All activities related to sexually transmitted diseases and HIV/AIDS control e.g. information, education and communication; testing; prevention; treatment, care.",1304002,HIV/AIDS and Livelihoods
,55,Health,130,Population Policies/Programmes & Reproductive Health,13040,STD control including HIV/AIDS,"All activities related to sexually transmitted diseases and HIV/AIDS control e.g. information, education and communication; testing; prevention; treatment, care.",1304003,HIV/AIDS and Treatment and Care
,56,Health,130,Population Policies/Programmes & Reproductive Health,13081,Personnel development for population and reproductive health,Education and training of health staff for population and reproductive health care services.,0,Unspecified
,57,Environment,140,Water Supply & Sanitation,14010,Water sector policy and administrative management,"Water sector policy and governance, including legislation, regulation, planning and management as well as transboundary management of water; institutional capacity development; activities supporting the Integrated Water Resource Management approach (IWRM:  see box below).",1401001,Water utilities
,58,Environment,140,Water Supply & Sanitation,14015,Water resources conservation (including data collection),"Collection and usage of quantitative and qualitative data on water resources; creation and sharing of water knowledge; conservation and rehabilitation of inland surface waters (rivers, lakes etc.), ground water and coastal waters; prevention of water contamination.",1401501,Water resources
,59,Environment,140,Water Supply & Sanitation,14015,Water resources conservation (including data collection),"Collection and usage of quantitative and qualitative data on water resources; creation and sharing of water knowledge; conservation and rehabilitation of inland surface waters (rivers, lakes etc.), ground water and coastal waters; prevention of water contamination.",1401502,Coastal zone management
,60,Environment,140,Water Supply & Sanitation,14020,Water supply and sanitation - large systems,"Programmes where components according to 14021 and 14022 cannot be identified.  When components are known, they should individually be reported under their respective purpose codes:  water supply [14021], sanitation [14022], and hygiene [12261].",1402001,WASH
,61,Environment,140,Water Supply & Sanitation,14020,Water supply and sanitation - large systems,"Programmes where components according to 14021 and 14022 cannot be identified.  When components are known, they should individually be reported under their respective purpose codes:  water supply [14021], sanitation [14022], and hygiene [12261].",1402101,Water Supply
,62,Environment,140,Water Supply & Sanitation,14020,Water supply and sanitation - large systems,"Programmes where components according to 14021 and 14022 cannot be identified.  When components are known, they should individually be reported under their respective purpose codes:  water supply [14021], sanitation [14022], and hygiene [12261].",1402201,Sanitation
hidden,63,Environment,140,Water Supply & Sanitation,14021,Water supply - large systems,Potable water treatment plants; intake works; storage; water supply pumping stations; large scale transmission / conveyance and distribution systems.,0,Unspecified
hidden,64,Environment,140,Water Supply & Sanitation,14022,Sanitation - large systems,Large scale sewerage including trunk sewers and sewage pumping stations; domestic and industrial waste water treatment plants.,0,Unspecified
,65,Environment,140,Water Supply & Sanitation,14030,Basic drinking water supply and basic sanitation,"Programmes where components according to 14031 and 14032 cannot be identified.  When components are known, they should individually be reported under their respective purpose codes:  water supply [14031], sanitation [14032], and hygiene [12261].",0,Unspecified
hidden,66,Environment,140,Water Supply & Sanitation,14031,Basic drinking water supply,"Rural water supply schemes using handpumps, spring catchments, gravity-fed systems, rainwater collection and fog harvesting, storage tanks, small distribution systems typically with shared connections/points of use. Urban schemes using handpumps and local neighbourhood networks including those with shared connections.",0,Unspecified
hidden,67,Environment,140,Water Supply & Sanitation,14032,Basic sanitation,"Latrines, on-site disposal and alternative sanitation systems, including the promotion of household and community investments in the construction of these facilities. (Use code 12261 for activities promoting improved personal hygiene practices.)",0,Unspecified
,68,Environment,140,Water Supply & Sanitation,14040,River basins' development,Infrastructure-focused integrated river basin projects and related institutional activities; river flow control; dams and reservoirs [excluding dams primarily for irrigation (31140) and hydropower (23220) and activities related to river transport (21040)].,0,Unspecified
,69,Environment,140,Water Supply & Sanitation,14050,Waste management/disposal,"Municipal and industrial solid waste management, including hazardous and toxic waste; collection, disposal and treatment; landfill areas; composting and reuse.",1405001,Solid Waste Management
,70,Environment,140,Water Supply & Sanitation,14081,Education and training in water supply and sanitation,Education and training for sector professionals and service providers.,0,Unspecified
,73,Governance,151,Government & Civil Society,15110,Public sector policy and administrative management,"Institution-building assistance to strengthen core public sector management systems and capacities. This includes macro-economic and other policy management, co-ordination, planning and reform; human resource management; organisational development; civil service reform; e-government; development planning, monitoring and evaluation; support to ministries involved in aid co-ordination; other ministries and government departments when sector cannot be specified. (Use specific sector codes for development of systems and capacities in sector ministries.)",1511002,Performance Improvement
,74,Governance,151,Government & Civil Society,15110,Public sector policy and administrative management,"Institution-building assistance to strengthen core public sector management systems and capacities. This includes macro-economic and other policy management, co-ordination, planning and reform; human resource management; organisational development; civil service reform; e-government; development planning, monitoring and evaluation; support to ministries involved in aid co-ordination; other ministries and government departments when sector cannot be specified. (Use specific sector codes for development of systems and capacities in sector ministries.)",1511003,Public Administration
,72,Governance,151,Government & Civil Society ,15110,Public sector policy and administrative management,"Institution-building assistance to strengthen core public sector management systems and capacities. This includes macro-economic and other policy management, co-ordination, planning and reform; human resource management; organisational development; civil service reform; e-government; development planning, monitoring and evaluation; support to ministries involved in aid co-ordination; other ministries and government departments when sector cannot be specified. (Use specific sector codes for development of systems and capacities in sector ministries.)",1511001,Human and Institutional Capacity Development
,85,Governance,151,Government & Civil Society,15111,Public finance management,"Fiscal policy and planning; support to ministries of finance; strengthening financial and managerial accountability; public expenditure management; improving financial management systems; budget drafting; inter-governmental fiscal relations, public audit, public debt. (Use code 15114 for domestic revenue mobilisation and code 33120 for customs).",1511101,Fiscal Policy
,86,Governance,151,Government & Civil Society,15111,Public finance management,"Fiscal policy and planning; support to ministries of finance; strengthening financial and managerial accountability; public expenditure management; improving financial management systems; budget drafting; inter-governmental fiscal relations, public audit, public debt. (Use code 15114 for domestic revenue mobilisation and code 33120 for customs).",1511102,Cost benefit analysis
,87,Governance,151,Government & Civil Society,15111,Public finance management,"Fiscal policy and planning; support to ministries of finance; strengthening financial and managerial accountability; public expenditure management; improving financial management systems; budget drafting; inter-governmental fiscal relations, public audit, public debt. (Use code 15114 for domestic revenue mobilisation and code 33120 for customs).",1511103,Planning
,88,Governance,151,Government & Civil Society,15111,Public finance management,"Fiscal policy and planning; support to ministries of finance; strengthening financial and managerial accountability; public expenditure management; improving financial management systems; budget drafting; inter-governmental fiscal relations, public audit, public debt. (Use code 15114 for domestic revenue mobilisation and code 33120 for customs).",1511104,Budgeting
,89,Governance,151,Government & Civil Society,15111,Public finance management,"Fiscal policy and planning; support to ministries of finance; strengthening financial and managerial accountability; public expenditure management; improving financial management systems; budget drafting; inter-governmental fiscal relations, public audit, public debt. (Use code 15114 for domestic revenue mobilisation and code 33120 for customs).",1511105,Medium Term Expenditure Framework
,90,Governance,151,Government & Civil Society,15111,Public finance management,"Fiscal policy and planning; support to ministries of finance; strengthening financial and managerial accountability; public expenditure management; improving financial management systems; budget drafting; inter-governmental fiscal relations, public audit, public debt. (Use code 15114 for domestic revenue mobilisation and code 33120 for customs).",1511106,Integrated Financial Management Information System
,91,Governance,151,Government & Civil Society,15111,Public finance management,"Fiscal policy and planning; support to ministries of finance; strengthening financial and managerial accountability; public expenditure management; improving financial management systems; budget drafting; inter-governmental fiscal relations, public audit, public debt. (Use code 15114 for domestic revenue mobilisation and code 33120 for customs).",1511107,Expenditure Management
,92,Governance,151,Government & Civil Society,15111,Public finance management,"Fiscal policy and planning; support to ministries of finance; strengthening financial and managerial accountability; public expenditure management; improving financial management systems; budget drafting; inter-governmental fiscal relations, public audit, public debt. (Use code 15114 for domestic revenue mobilisation and code 33120 for customs).",1511108,Single treasury account
,93,Governance,151,Government & Civil Society,15111,Public finance management,"Fiscal policy and planning; support to ministries of finance; strengthening financial and managerial accountability; public expenditure management; improving financial management systems; budget drafting; inter-governmental fiscal relations, public audit, public debt. (Use code 15114 for domestic revenue mobilisation and code 33120 for customs).",1511109,Procurement
,94,Governance,151,Government & Civil Society,15111,Public finance management,"Fiscal policy and planning; support to ministries of finance; strengthening financial and managerial accountability; public expenditure management; improving financial management systems; budget drafting; inter-governmental fiscal relations, public audit, public debt. (Use code 15114 for domestic revenue mobilisation and code 33120 for customs).",1511110,Cash management
,95,Governance,151,Government & Civil Society,15111,Public finance management,"Fiscal policy and planning; support to ministries of finance; strengthening financial and managerial accountability; public expenditure management; improving financial management systems; budget drafting; inter-governmental fiscal relations, public audit, public debt. (Use code 15114 for domestic revenue mobilisation and code 33120 for customs).",151111,Debt management
,96,Governance,151,Government & Civil Society,15111,Public finance management,"Fiscal policy and planning; support to ministries of finance; strengthening financial and managerial accountability; public expenditure management; improving financial management systems; budget drafting; inter-governmental fiscal relations, public audit, public debt. (Use code 15114 for domestic revenue mobilisation and code 33120 for customs).",1511112,Fiscal transparency and accountability
,97,Governance,151,Government & Civil Society,15111,Public finance management,"Fiscal policy and planning; support to ministries of finance; strengthening financial and managerial accountability; public expenditure management; improving financial management systems; budget drafting; inter-governmental fiscal relations, public audit, public debt. (Use code 15114 for domestic revenue mobilisation and code 33120 for customs).",1511113,Financial audit
,101,Governance,151,Government & Civil Society,15112,Decentralisation and support to subnational government,"Decentralisation processes (including political, administrative and fiscal dimensions); intergovernmental relations and federalism; strengthening departments of regional and local government, regional and local authorities and their national associations. (Use specific sector codes for decentralisation of sector management and services.) ",1511201,Decentralization Policy
,102,Governance,151,Government & Civil Society,15112,Decentralisation and support to subnational government,"Decentralisation processes (including political, administrative and fiscal dimensions); intergovernmental relations and federalism; strengthening departments of regional and local government, regional and local authorities and their national associations. (Use specific sector codes for decentralisation of sector management and services.) ",1511202,Service Delivery Improvement
,103,Governance,151,Government & Civil Society,15112,Decentralisation and support to subnational government,"Decentralisation processes (including political, administrative and fiscal dimensions); intergovernmental relations and federalism; strengthening departments of regional and local government, regional and local authorities and their national associations. (Use specific sector codes for decentralisation of sector management and services.) ",1511203,Local Economic Development
,104,Governance,151,Government & Civil Society,15112,Decentralisation and support to subnational government,"Decentralisation processes (including political, administrative and fiscal dimensions); intergovernmental relations and federalism; strengthening departments of regional and local government, regional and local authorities and their national associations. (Use specific sector codes for decentralisation of sector management and services.) ",1511204,Local government budget
,105,Governance,151,Government & Civil Society,15112,Decentralisation and support to subnational government,"Decentralisation processes (including political, administrative and fiscal dimensions); intergovernmental relations and federalism; strengthening departments of regional and local government, regional and local authorities and their national associations. (Use specific sector codes for decentralisation of sector management and services.) ",1511205,Local government planning
,106,Governance,151,Government & Civil Society,15112,Decentralisation and support to subnational government,"Decentralisation processes (including political, administrative and fiscal dimensions); intergovernmental relations and federalism; strengthening departments of regional and local government, regional and local authorities and their national associations. (Use specific sector codes for decentralisation of sector management and services.) ",1511206,Local government oversight
,107,Governance,151,Government & Civil Society,15112,Decentralisation and support to subnational government,"Decentralisation processes (including political, administrative and fiscal dimensions); intergovernmental relations and federalism; strengthening departments of regional and local government, regional and local authorities and their national associations. (Use specific sector codes for decentralisation of sector management and services.) ",1511207,Citizen Engagement
,108,Governance,151,Government & Civil Society,15112,Decentralisation and support to subnational government,"Decentralisation processes (including political, administrative and fiscal dimensions); intergovernmental relations and federalism; strengthening departments of regional and local government, regional and local authorities and their national associations. (Use specific sector codes for decentralisation of sector management and services.) ",1511208,Local government own source revenue
,109,Governance,151,Government & Civil Society,15112,Decentralisation and support to subnational government,"Decentralisation processes (including political, administrative and fiscal dimensions); intergovernmental relations and federalism; strengthening departments of regional and local government, regional and local authorities and their national associations. (Use specific sector codes for decentralisation of sector management and services.) ",1511209,Local government financial management
,110,Governance,151,Government & Civil Society,15112,Decentralisation and support to subnational government,"Decentralisation processes (including political, administrative and fiscal dimensions); intergovernmental relations and federalism; strengthening departments of regional and local government, regional and local authorities and their national associations. (Use specific sector codes for decentralisation of sector management and services.) ",1511210,Local government performance improvement
,111,Governance,151,Government & Civil Society,15112,Decentralisation and support to subnational government,"Decentralisation processes (including political, administrative and fiscal dimensions); intergovernmental relations and federalism; strengthening departments of regional and local government, regional and local authorities and their national associations. (Use specific sector codes for decentralisation of sector management and services.) ",1511211,Intergovernmental finance
,115,Governance,151,Government & Civil Society,15113,Anti-corruption organisations and institutions,"Specialised organisations, institutions and frameworks for the prevention of and combat against corruption, bribery, money-laundering and other aspects of organised crime, with or without law enforcement powers, e.g. anti-corruption commissions and monitoring bodies, special investigation services, institutions and initiatives of integrity and ethics oversight, specialised NGOs, other civil society and citizens’ organisations directly concerned with corruption.",1511301,Anti-corruption
,116,Governance,151,Government & Civil Society,15113,Anti-corruption organisations and institutions,"Specialised organisations, institutions and frameworks for the prevention of and combat against corruption, bribery, money-laundering and other aspects of organised crime, with or without law enforcement powers, e.g. anti-corruption commissions and monitoring bodies, special investigation services, institutions and initiatives of integrity and ethics oversight, specialised NGOs, other civil society and citizens’ organisations directly concerned with corruption.",1511302,Audit
,117,Governance,151,Government & Civil Society,15113,Anti-corruption organisations and institutions,"Specialised organisations, institutions and frameworks for the prevention of and combat against corruption, bribery, money-laundering and other aspects of organised crime, with or without law enforcement powers, e.g. anti-corruption commissions and monitoring bodies, special investigation services, institutions and initiatives of integrity and ethics oversight, specialised NGOs, other civil society and citizens’ organisations directly concerned with corruption.",1511303,Fraud Detection
,118,Governance,151,Government & Civil Society,15113,Anti-corruption organisations and institutions,"Specialised organisations, institutions and frameworks for the prevention of and combat against corruption, bribery, money-laundering and other aspects of organised crime, with or without law enforcement powers, e.g. anti-corruption commissions and monitoring bodies, special investigation services, institutions and initiatives of integrity and ethics oversight, specialised NGOs, other civil society and citizens’ organisations directly concerned with corruption.",1511304,Tax Policy
,119,Governance,151,Government & Civil Society,15114,Domestic revenue mobilisation,"Support to domestic revenue mobilisation/tax policy, analysis and administration as well as non-tax public revenue, which includes work with ministries of finance, line ministries, revenue authorities or other local, regional or national public bodies. (Use code 16010 for social security and other social protection.)",1511401,Tax Legislation
,120,Governance,151,Government & Civil Society,15114,Domestic revenue mobilisation,"Support to domestic revenue mobilisation/tax policy, analysis and administration as well as non-tax public revenue, which includes work with ministries of finance, line ministries, revenue authorities or other local, regional or national public bodies. (Use code 16010 for social security and other social protection.)",1511402,Tax forms
,121,Governance,151,Government & Civil Society,15114,Domestic revenue mobilisation,"Support to domestic revenue mobilisation/tax policy, analysis and administration as well as non-tax public revenue, which includes work with ministries of finance, line ministries, revenue authorities or other local, regional or national public bodies. (Use code 16010 for social security and other social protection.)",1511403,Tax auditing
,122,Governance,151,Government & Civil Society,15114,Domestic revenue mobilisation,"Support to domestic revenue mobilisation/tax policy, analysis and administration as well as non-tax public revenue, which includes work with ministries of finance, line ministries, revenue authorities or other local, regional or national public bodies. (Use code 16010 for social security and other social protection.)",1511404,Tax collections
,123,Governance,151,Government & Civil Society,15114,Domestic revenue mobilisation,"Support to domestic revenue mobilisation/tax policy, analysis and administration as well as non-tax public revenue, which includes work with ministries of finance, line ministries, revenue authorities or other local, regional or national public bodies. (Use code 16010 for social security and other social protection.)",1511405,Tax automation
,124,Governance,151,Government & Civil Society,15114,Domestic revenue mobilisation,"Support to domestic revenue mobilisation/tax policy, analysis and administration as well as non-tax public revenue, which includes work with ministries of finance, line ministries, revenue authorities or other local, regional or national public bodies. (Use code 16010 for social security and other social protection.)",1511406,Tax procedures
,125,Governance,151,Government & Civil Society,15114,Domestic revenue mobilisation,"Support to domestic revenue mobilisation/tax policy, analysis and administration as well as non-tax public revenue, which includes work with ministries of finance, line ministries, revenue authorities or other local, regional or national public bodies. (Use code 16010 for social security and other social protection.)",1511407,Taxpayer Service
,126,Governance,151,Government & Civil Society,15114,Domestic revenue mobilisation,"Support to domestic revenue mobilisation/tax policy, analysis and administration as well as non-tax public revenue, which includes work with ministries of finance, line ministries, revenue authorities or other local, regional or national public bodies. (Use code 16010 for social security and other social protection.)",1511408,Tax Appeals
,127,Governance,151,Government & Civil Society,15114,Domestic revenue mobilisation,"Support to domestic revenue mobilisation/tax policy, analysis and administration as well as non-tax public revenue, which includes work with ministries of finance, line ministries, revenue authorities or other local, regional or national public bodies. (Use code 16010 for social security and other social protection.)",1511409,Transfer Pricity
,128,Governance,151,Government & Civil Society,15114,Domestic revenue mobilisation,"Support to domestic revenue mobilisation/tax policy, analysis and administration as well as non-tax public revenue, which includes work with ministries of finance, line ministries, revenue authorities or other local, regional or national public bodies. (Use code 16010 for social security and other social protection.)",1511410,Revenue Forecasting
,129,Governance,151,Government & Civil Society,15114,Domestic revenue mobilisation,"Support to domestic revenue mobilisation/tax policy, analysis and administration as well as non-tax public revenue, which includes work with ministries of finance, line ministries, revenue authorities or other local, regional or national public bodies. (Use code 16010 for social security and other social protection.)",1511411,Public Education and Outreach
,130,Governance,151,Government & Civil Society,15114,Domestic revenue mobilisation,"Support to domestic revenue mobilisation/tax policy, analysis and administration as well as non-tax public revenue, which includes work with ministries of finance, line ministries, revenue authorities or other local, regional or national public bodies. (Use code 16010 for social security and other social protection.)",1511412,Intergovernmental Finance
,131,Governance,151,Government & Civil Society,15114,Domestic revenue mobilisation,"Support to domestic revenue mobilisation/tax policy, analysis and administration as well as non-tax public revenue, which includes work with ministries of finance, line ministries, revenue authorities or other local, regional or national public bodies. (Use code 16010 for social security and other social protection.)",1511413,Local Tax Revenues
,132,Governance,151,Government & Civil Society,15114,Domestic revenue mobilisation,"Support to domestic revenue mobilisation/tax policy, analysis and administration as well as non-tax public revenue, which includes work with ministries of finance, line ministries, revenue authorities or other local, regional or national public bodies. (Use code 16010 for social security and other social protection.)",1511414,Non-tax Revenues and fees
Hidden,133,Governance,151,Government & Civil Society,15116,Tax collection,Operation of the inland revenue authority.,0,Unspecified
Hidden,98,Governance,151,Government & Civil Society,15117,Budget planning,Operation of the budget office and planning as part of the budget process.,0,Unspecified
Hidden,99,Governance,151,Government & Civil Society,15118,National audit,Operation of the accounting and audit services.,0,Unspecified
